name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytrees,java,6,7,529,0.392,2208,0,21% 32% 87% 44%,0.239
binarytrees,java,6,14,529,0.533,1020,0,59% 33% 35% 42%,0.334
binarytrees,java,6,21,529,16.126,871440,0,12% 83% 23% 12%,12.658
binarytrees,fsharpcore,8,7,619,0.120,0,0,0% 100% 8% 8%,0.117
binarytrees,fsharpcore,8,14,619,0.262,0,0,27% 47% 75% 25%,0.163
binarytrees,fsharpcore,8,21,619,28.640,1049740,0,87% 88% 83% 82%,8.536
binarytrees,racket,1,7,476,0.080,0,0,11% 13% 88% 0%,0.082
binarytrees,racket,1,14,476,0.221,2612,0,5% 4% 5% 100%,0.223
binarytrees,racket,1,21,476,49.169,619480,0,0% 35% 66% 0%,49.222
binarytrees,node,1,7,440,0.091,0,0,9% 0% 13% 82%,0.104
binarytrees,node,1,14,440,0.253,924,0,50% 4% 4% 64%,0.239
binarytrees,node,1,21,440,81.909,658324,0,37% 39% 59% 46%,45.391
binarytrees,rust,2,7,721,0.000,0,-11,%,0.000
binarytrees,rust,2,14,721,0.000,0,-11,%,0.000
binarytrees,rust,2,21,721,0.000,0,-11,%,0.000
binarytrees,yarv,4,7,364,0.080,6920,0,4% 98% 2% 0%,0.562
binarytrees,yarv,4,14,364,0.744,11328,0,100% 4% 3% 3%,0.746
binarytrees,yarv,4,21,364,127.784,547416,0,0% 1% 1% 100%,127.912
binarytrees,gpp,1,7,754,0.005,0,0,%,0.000
binarytrees,gpp,1,14,754,0.087,0,0,50% 75% 60% 75%,0.043
binarytrees,gpp,1,21,754,31.385,1810688,0,97% 92% 92% 92%,8.501
binarytrees,jruby,2,7,378,9.439,158836,0,72% 73% 66% 90%,3.177
binarytrees,jruby,2,14,378,11.067,233396,0,65% 87% 68% 64%,3.939
binarytrees,jruby,2,21,378,176.756,2332304,0,26% 25% 55% 63%,106.726
binarytrees,gcc,3,7,836,0.004,0,0,%,0.000
binarytrees,gcc,3,14,836,0.054,0,0,67% 67% 50% 67%,0.028
binarytrees,gcc,3,21,836,7.569,133956,0,80% 65% 68% 100%,2.439
binarytrees,python3,1,7,589,0.378,11004,0,3% 2% 80% 2%,0.586
